1, (629,920), (629,921)
1, (338,273), (338,272)
1, (561,228), (561,227)
2, (922,339), (923,338)
2, (890,0), (890,2)
2, (282,4), (284,4)
3, (829,855), (827,856)
3, (449,965), (447,966)
3, (984,733), (983,731)
3, (277,708), (275,709)
3, (23,558), (22,556)
3, (599,47), (598,49)
3, (863,529), (862,527)
4, (719,994), (723,994)
4, (990,915), (989,918)
4, (941,673), (943,675)
5, (764,466), (766,463)
5, (484,183), (486,186)
5, (499,827), (501,824)
5, (879,437), (881,440)
5, (962,453), (960,450)
5, (83,741), (85,744)
5, (83,741), (79,740)
5, (486,186), (490,185)
5, (756,558), (758,555)
5, (965,128), (964,124)
5, (927,337), (923,338)
5, (723,48), (718,48)
6, (538,974), (541,971)
6, (17,974), (19,970)
6, (532,223), (538,223)
6, (765,843), (762,846)
6, (838,571), (834,573)
6, (744,595), (746,599)
6, (12,277), (7,278)
7, (451,848), (453,853)
7, (617,727), (623,728)
7, (56,137), (51,135)
7, (393,564), (387,563)
7, (671,13), (669,18)
7, (325,144), (323,149)
7, (83,741), (87,738)
7, (511,121), (509,126)
7, (195,141), (195,148)
7, (96,917), (100,920)
7, (922,339), (927,337)
7, (216,51), (222,50)
7, (342,285), (335,285)
7, (713,493), (713,486)
7, (538,223), (542,220)
