1, (5,1), (4,1)
2, (10,1), (10,3)
3, (3,3), (4,1)
4, (5,8), (7,10)
4, (10,7), (10,3)
4, (5,1), (3,3)
5, (5,8), (2,10)
5, (7,10), (2,10)
5, (10,1), (5,1)
5, (3,3), (0,5)
6, (5,8), (10,7)
6, (7,10), (10,7)
6, (10,1), (10,7)
6, (10,1), (4,1)
7, (5,8), (5,1)
7, (5,8), (3,3)
7, (2,10), (0,5)
7, (5,1), (10,3)
7, (3,3), (10,3)
8, (5,8), (0,5)
8, (5,8), (4,1)
8, (2,10), (3,3)
8, (0,5), (4,1)
8, (10,3), (4,1)
9, (10,1), (3,3)
9, (5,1), (0,5)
10, (5,8), (10,3)
10, (7,10), (10,3)
11, (7,10), (5,1)
11, (7,10), (3,3)
11, (2,10), (10,7)
11, (2,10), (4,1)
11, (10,7), (5,1)
11, (10,7), (3,3)
12, (5,8), (10,1)
12, (7,10), (10,1)
12, (7,10), (0,5)
12, (7,10), (4,1)
12, (2,10), (5,1)
12, (10,7), (0,5)
12, (10,7), (4,1)
12, (0,5), (10,3)
14, (10,1), (0,5)
15, (2,10), (10,3)
17, (2,10), (10,1)
