1, (7,1), (7,0)
1, (7,0), (6,0)
2, (7,1), (5,1)
2, (7,1), (7,3)
2, (7,1), (6,0)
2, (3,1), (5,1)
2, (5,1), (6,0)
3, (2,4), (1,6)
3, (7,0), (5,1)
3, (7,0), (7,3)
3, (7,3), (9,4)
4, (2,4), (3,1)
4, (7,1), (3,1)
4, (3,1), (6,0)
4, (5,1), (7,3)
4, (7,3), (6,0)
4, (1,10), (1,6)
5, (7,1), (9,4)
5, (3,1), (7,0)
6, (2,4), (5,1)
6, (2,4), (7,3)
6, (3,1), (7,3)
6, (7,0), (9,4)
7, (2,4), (1,10)
7, (2,4), (9,4)
7, (3,1), (1,6)
7, (5,1), (9,4)
7, (6,0), (9,4)
8, (2,4), (7,1)
8, (2,4), (6,0)
9, (2,4), (7,0)
9, (3,1), (9,4)
9, (5,1), (1,6)
9, (7,3), (1,6)
10, (1,6), (9,4)
11, (7,1), (1,6)
11, (3,1), (1,10)
11, (6,0), (1,6)
12, (7,0), (1,6)
13, (5,1), (1,10)
13, (7,3), (1,10)
14, (1,10), (9,4)
15, (7,1), (1,10)
15, (1,10), (6,0)
16, (7,0), (1,10)
