(741,659)
(280,688)
(221,373)
(231,557)
(719,64)
(124,858)
(690,177)
(440,658)
(433,143)
(566,654)
(86,166)
(275,191)
(299,975)
(749,528)
(526,874)
(549,839)
(258,794)
(565,954)
(145,508)
(852,895)
(757,221)
(891,450)
(154,822)
(380,658)
(795,998)
(139,693)
(619,9)
(82,159)
(369,481)
(221,750)
(566,110)
(495,68)
(472,341)
(642,514)
(494,350)
(258,250)
(656,40)
(621,311)
(730,654)
(87,368)
(652,991)
(984,143)
(741,483)
(905,762)
(833,90)
(310,58)
(45,816)
(107,611)
(952,712)
(545,446)
(784,63)
(116,696)
(178,253)
(537,213)
(809,245)
(234,450)
(386,300)
(145,512)
(174,548)
(503,705)
(398,283)
(354,1000)
(943,510)
(742,996)
(185,148)
(397,175)
(389,976)
(778,662)
(511,169)
(663,721)
(188,339)
(743,174)
(706,512)
(862,274)
(251,386)
(205,517)
(695,673)
(807,585)
(893,109)
(349,512)
(125,228)
(625,694)
(128,791)
(88,337)
(678,440)
(550,291)
(297,349)
(238,699)
(363,294)
(446,737)
(260,708)
(548,101)
(347,624)
(949,116)
(949,781)
(533,58)
(626,524)
(785,32)
(914,671)
(28,578)
(851,395)
(44,28)
(187,751)
(80,350)
(210,60)
(554,108)
(339,610)
(191,959)
(548,851)
(107,471)
(223,426)
(422,483)
(655,834)
(520,878)
(241,560)
(177,130)
(797,280)
(243,511)
(338,996)
(166,813)
(675,254)
(952,163)
(786,759)
(397,417)
(958,633)
(675,928)
(136,781)
(853,449)
(358,992)
(124,834)
(508,918)
(508,271)
(694,123)
(837,608)
(279,308)
(822,983)
(493,646)
(370,328)
(477,701)
(229,298)
(376,79)
(499,320)
(886,729)
(926,146)
(39,48)
(149,872)
(625,792)
(377,461)
(976,659)
(838,518)
(982,401)
(54,55)
(547,729)
(111,845)
(970,566)
(77,852)
(229,172)
(489,815)
(923,113)
(972,374)
(47,33)
(440,611)
(205,754)
(198,202)
(856,864)
(359,156)
(992,468)
(131,926)
(906,712)
(686,114)
(853,529)
(923,890)
(581,772)
(532,730)
(230,923)
(779,360)
(227,521)
(375,923)
(640,183)
(578,864)
(95,478)
(79,134)
(934,648)
(536,867)
(198,332)
(839,923)
(908,101)
(311,111)
(843,884)
(384,846)
(68,878)
(318,16)
(177,794)
(89,910)
(538,19)
(258,212)
(530,15)
(779,710)
(875,180)
(388,587)
(408,556)
(247,886)
(824,205)
(482,514)
(773,407)
(958,443)
(839,779)
(129,732)
(48,676)
(51,812)
(761,441)
(727,803)
(582,308)
(949,83)
(266,99)
(263,201)
(271,452)
(37,612)
(774,487)
(195,960)
(680,62)
(151,377)
(862,200)
(805,102)
(307,234)
(344,283)
(202,190)
(608,73)
(436,357)
(1000,597)
(224,465)
(389,947)
(527,633)
(794,596)
(550,873)
(615,188)
(476,695)
